

Software Version	3.00.19



Experiment File Path:	C:\Users\Public\Documents\Experiments\Practical Course\2017-12-15_Gr5.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Practical Course\2017-11-10_singlCopyPlasm_ mCherry_GFP_OD600_discont.prt



Plate Number	Plate 1
Date	12/15/2017
Time	12:41:54 PM
Reader Type:	Synergy H1
Reader Serial Number:	14112519
Reading Type	Reader

Procedure Details

Plate Type	Nunc 96 flat bottom generic
Discontinuous Kinetics	Runtime 0:09:00 (D:HH:MM), Interval 0:00:30, 19 Reads
	Pause after each run
Eject plate on completion	
Set Temperature	Setpoint 37°C
Shake	Orbital: 0:30 (MM:SS)
	Frequency: 807 cpm (1 mm)
Read	mCherry
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 578,  Emission: 614
	    Optics: Bottom,  Gain: 148
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 7 mm
Read	GFP
	Fluorescence Endpoint
	Full Plate
	Filter Set 1 (Green)
	    Excitation: 485/20,  Emission: 528/20
	    Mirror: Top 510 nm,  Gain: 56
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 6.25 mm
Read	OD600
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8

mCherry:578,614

Time	T° mCherry:578,614	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:31	29.6	338	407	404	546	554	407	385	357	411	452	473	391	352	375	374	522	552	417	366	461	444	426	433	351	423	522	341	383	368	428	418	315	462	505	417	385	518	427	439	483	436	497	351	464	1593	2002	1754	1741	349	269	464	389	319	436	398	360	531	391	399	1178	355	423	411	399	386	712	388	474	361	374	358	428	1931	1842	1602	2006	1532	1937	1675	1955	391	421	296	418	2026	1892	1548	1706	1417	2009	1771	1740	475	333	347	362
1:23:50	37.0	383	417	388	505	478	441	403	414	426	428	387	439	427	467	363	382	332	371	377	453	481	469	462	351	323	398	298	412	381	319	370	308	330	402	464	419	396	312	438	508	366	445	352	398	1345	1415	1382	1416	414	272	430	334	427	423	482	381	345	350	301	328	368	288	430	409	406	534	345	367	370	405	301	302	1524	1386	1322	1447	1250	1350	1217	1187	288	468	401	377	1368	1248	1279	1270	1366	1388	1253	1350	320	371	266	420
1:55:01	37.0	434	429	349	446	623	281	428	436	384	380	386	444	355	399	422	407	338	523	357	311	433	268	358	363	479	407	427	437	338	468	438	414	384	436	489	420	487	381	313	388	372	411	440	454	1355	1190	1377	1253	284	404	286	336	411	440	382	320	364	316	198	313	400	368	355	426	336	449	415	381	366	349	370	319	1400	1396	1226	1241	1366	1332	1350	1307	307	369	326	287	1414	1380	1233	1467	1296	1455	1488	1206	314	548	277	314
2:30:57	37.0	246	361	347	490	573	371	375	308	421	513	336	381	401	363	334	391	373	422	309	410	333	361	483	333	395	446	547	373	554	314	358	579	444	458	326	363	373	452	458	437	484	455	536	512	1407	1314	1174	1326	367	271	335	357	255	307	449	336	321	345	307	267	366	365	413	390	334	482	292	363	387	474	388	345	1396	1208	1297	1283	1239	1367	1289	1081	382	400	441	303	1388	1387	1082	1380	1233	1227	1186	1255	354	845	382	280
2:57:22	37.0	360	336	273	491	477	469	458	363	342	386	402	439	335	457	452	296	428	353	331	330	495	466	542	345	322	544	396	471	491	514	515	558	445	334	369	361	373	455	427	487	505	456	519	509	1274	1314	1106	1408	399	320	339	428	320	338	305	470	283	335	342	385	347	331	292	305	372	512	277	345	473	371	353	390	1146	1119	964	1197	951	1097	955	940	393	386	370	260	1573	1215	1147	1280	1320	1081	1017	992	360	358	374	304
3:31:09	37.0	507	472	419	739	541	437	428	484	449	442	497	359	442	388	293	285	444	404	351	364	398	355	594	504	324	391	473	406	671	513	501	655	321	391	362	416	403	417	442	530	724	552	568	551	1360	1658	1520	1460	437	461	428	311	411	505	366	449	447	416	342	300	433	352	277	497	427	435	336	406	287	372	727	263	1760	1550	1129	1616	1154	1093	1046	997	376	328	378	347	1782	2540	2134	3095	1620	1275	1581	1142	353	408	267	344
4:01:19	37.0	437	532	537	1072	551	554	533	647	301	352	415	459	519	450	337	560	467	568	448	406	388	422	580	578	316	330	601	576	886	583	629	597	371	255	402	343	382	340	636	462	886	511	614	746	2025	1904	1669	2550	496	546	448	602	438	507	499	514	340	309	351	415	529	451	682	521	477	732	517	552	404	339	441	369	3043	1902	1620	3101	1264	1677	1717	1689	313	313	396	428	3057	2580	1868	2857	1515	2347	1564	1155	370	687	386	338
4:38:16	37.0	723	778	583	774	846	752	835	713	357	399	413	584	832	753	668	800	520	865	678	803	557	565	631	793	390	468	599	463	1268	672	1538	846	564	301	325	430	443	443	866	355	1274	679	1250	783	2505	2624	2388	2878	716	902	731	815	505	913	791	785	320	279	376	426	780	718	878	838	502	749	776	724	303	330	457	357	3579	2520	1873	2239	1373	2319	1463	1508	339	516	317	378	3444	2948	2320	2930	1751	1935	1659	1130	322	400	351	342
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
