 	Area	Mean	Min	Max	Median
1	1.272	2828.688	2570	3205	2826
2	3.359	3186.082	2805	3983	3169
3	2.797	6867.409	3062	9588	7291
4	2.996	3831.135	2796	5583	3596
5	3.219	3050.236	2659	3484	3048
6	2.429	2762.414	2496	2990	2764
7	2.438	5034.392	2817	7043	5024
8	2.311	3434.874	2722	4576	3254
9	3.815	5977.016	3005	8868	5929
10	3.549	6442.320	3162	10642	5813
11	2.353	3011.790	2587	3542	2969
12	2.763	4922.700	3021	7149	4752
13	2.400	3655.320	2723	4802	3536
14	2.129	7551.435	3245	11468	7618
15	2.290	4530.083	2927	5851	4763
16	2.467	2888.031	2632	3126	2884
17	2.759	2821.444	2548	3159	2821
18	2.797	5417.215	3044	8534	4963
19	4.069	2908.084	2592	3266	2912
20	2.180	3115.899	2646	3467	3135
21	2.742	3411.234	2723	4134	3351
22	2.282	5211.922	2819	7255	5337
23	2.658	3455.086	2774	3983	3532
24	2.070	5713.271	3301	10266	5006
25	2.869	7590.087	3342	13624	6452
26	2.645	6179.698	3454	11651	5159
27	2.383	5221.833	2888	7220	5339
28	0.630	2770.946	2524	3064	2761
29	3.604	4715.022	3124	7161	4465
30	2.543	2926.141	2602	3229	2925
31	1.720	2779.629	2511	3040	2774
32	1.821	6772.457	3144	11560	6331
33	2.636	7382.165	3102	9903	7912
34	2.780	3585.836	2789	4200	3697
35	2.155	2955.063	2633	3272	2951
36	1.618	7377.540	3576	11833	6756
37	1.876	7492.306	3209	11709	7598
38	2.108	8413.220	3403	14719	7439
39	3.143	4995.476	3016	8225	4639
40	2.729	6071.833	3183	8744	6079
41	1.859	3071.273	2648	3529	3058
42	2.628	3017.695	2709	3304	3016
43	2.687	2951.066	2665	3239	2950
44	3.274	3118.201	2741	3469	3121
45	2.539	3740.913	2780	4477	3834
46	2.704	2992.683	2629	3446	2976
47	2.497	10693.274	4010	15256	11660
48	2.345	7517.942	3332	12272	7160
49	2.734	3087.002	2660	3589	3061
50	2.480	8003.066	3754	16473	6646
51	3.646	4811.469	2981	6744	4711
52	2.953	2962.049	2669	3248	2960
53	2.941	3156.786	2790	3662	3136
54	1.952	2799.325	2562	3059	2800
55	1.525	9930.632	3492	18169	8966
56	2.594	3185.606	2734	3673	3163
57	2.286	2994.704	2762	3274	2997
58	3.215	3002.560	2744	3333	3000
59	2.345	6034.209	3194	8059	6354
60	2.814	4649.264	2983	6481	4502
61	2.252	2952.814	2706	3251	2948
62	3.334	3037.871	2742	3410	3041
63	2.074	3130.026	2818	3460	3131
64	2.653	3148.188	2865	3597	3142
65	2.353	3080.847	2842	3340	3079
66	2.243	7648.522	3282	10780	8329
67	2.645	2941.693	2686	3204	2943
68	2.442	3964.552	2915	4917	4093
69	3.088	2953.728	2689	3265	2955
70	3.160	2996.866	2669	3360	2988
71	3.743	2899.140	2660	3189	2895
72	2.062	3441.037	2817	4040	3477
73	2.227	4852.805	2896	6392	5141
74	1.914	3012.373	2731	3381	3011
75	2.362	2956.122	2629	3255	2953
76	3.959	2991.891	2707	3343	2989
77	3.955	6036.403	3134	10010	5590
78	2.962	3005.191	2622	3349	2999
79	1.982	5269.190	3148	9376	4622
80	3.042	4370.778	2944	5927	4336
81	2.210	2991.442	2709	3234	2998
82	3.012	3236.438	2818	3739	3215
83	1.960	2930.836	2665	3203	2933
84	3.621	2851.782	2509	3113	2850
85	3.308	3051.359	2720	3399	3051
86	2.611	2947.741	2672	3292	2949
87	2.298	3695.452	2927	5374	3516
