 	Area	Mean	Min	Max	Median
1	1.272	1214.767	1056	1374	1213
2	3.359	1799.986	1324	3171	1718
3	2.797	15576.009	2592	27770	15654
4	2.996	1965.656	1439	3366	1848
5	3.219	1402.172	1160	1643	1403
6	2.429	1317.772	1111	1529	1316
7	2.438	2294.898	1228	3321	2273
8	2.311	1216.684	1052	1378	1216
9	3.815	1332.937	1156	1515	1333
10	3.549	7238.063	2259	20464	5406
11	2.353	1258.706	1099	1414	1259
12	2.763	3843.283	1490	7617	3394
13	2.400	1256.340	1107	1419	1255
14	2.129	1285.089	1142	1489	1282
15	2.290	1302.679	1141	1462	1303
16	2.467	1469.866	1305	1666	1469
17	2.759	1248.283	1096	1418	1248
18	2.797	4776.258	1901	12721	3585
19	4.069	1307.576	1156	1492	1308
20	2.180	1328.868	1138	1487	1329
21	2.742	1266.532	1111	1470	1267
22	2.282	5458.167	1712	13012	4279
23	2.658	1385.661	1173	1618	1381
24	2.070	2161.933	1413	3978	1948
25	2.869	6354.493	2364	18716	4670
26	2.645	3908.411	2100	9257	3265
27	2.383	3635.161	1413	6950	2984
28	0.630	1286.987	1120	1473	1289
29	3.604	3974.539	2103	8252	3553
30	2.543	1302.533	1147	1465	1301
31	1.720	1285.823	1147	1470	1282
32	1.821	6503.534	1846	14168	5698
33	2.636	14357.377	2421	23829	15711
34	2.780	1313.602	1131	1500	1311
35	2.155	1325.314	1151	1564	1325
36	1.618	11214.676	3520	27040	8268
37	1.876	14656.743	2774	37331	10163
38	2.108	6064.802	2008	16331	4147
39	3.143	1355.108	1170	1516	1355
40	2.729	3927.458	1620	6855	3623
41	1.859	1307.914	1169	1449	1308
42	2.628	1349.971	1185	1519	1354
43	2.687	1304.569	1123	1490	1305
44	3.274	1342.293	1123	1512	1342
45	2.539	1325.938	1167	1519	1326
46	2.704	1336.767	1155	1547	1333
47	2.497	15143.934	3794	28807	13265
48	2.345	10569.593	2654	28180	7791
49	2.734	1360.158	1209	1526	1358
50	2.480	3532.172	1794	8176	2828
51	3.646	6092.030	1813	13561	4622
52	2.953	1363.893	1182	1561	1362
53	2.941	1380.967	1167	1607	1380
54	1.952	1349.695	1129	1567	1344
55	1.525	13286.709	2294	27139	12191
56	2.594	1275.042	1071	1425	1277
57	2.286	1386.837	1208	1584	1391
58	3.215	1673.381	1376	1883	1678
59	2.345	11817.865	2582	18635	12823
60	2.814	5543.389	1816	9320	5382
61	2.252	1333.165	1194	1499	1337
62	3.334	1351.962	1173	1569	1352
63	2.074	1846.692	1516	2237	1840
64	2.653	1545.518	1248	1950	1522
65	2.353	1779.212	1470	2070	1779
66	2.243	20617.051	3077	32920	23044
67	2.645	1335.607	1188	1503	1334
68	2.442	1373.116	1186	1585	1373
69	3.088	1315.012	1183	1488	1313
70	3.160	1329.294	1160	1463	1329
71	3.743	1293.744	1106	1463	1295
72	2.062	1352.516	1169	1556	1350
73	2.227	9245.607	2014	17187	8492
74	1.914	1567.779	1267	2023	1531
75	2.362	1426.222	1230	1671	1423
76	3.959	1350.572	1186	1542	1351
77	3.955	9173.345	2278	18807	8187
78	2.962	1321.611	1162	1520	1325
79	1.982	5734.646	1755	12851	4691
80	3.042	3438.126	1424	5219	3485
81	2.210	1393.707	1219	1603	1391
82	3.012	1536.167	1281	1850	1530
83	1.960	1312.121	1133	1498	1310
84	3.621	1278.665	1133	1448	1279
85	3.308	1307.522	1123	1477	1308
86	2.611	1346.636	1153	1583	1348
87	2.298	1294.344	1134	1470	1294
