 	Area	Mean	Min	Max	Median
1	2.903	15971.125	2360	25551	17533
2	2.586	1245.458	1071	1428	1246
3	2.784	1289.923	1018	1534	1287
4	0.697	1211.473	1085	1353	1213
5	0.642	1202.092	1071	1328	1206
6	0.473	1224.500	1098	1356	1228
7	1.204	1202.011	1055	1371	1205
8	0.942	1162.363	1031	1288	1166
9	0.866	1169.698	1050	1314	1167
10	0.663	1175.580	1046	1300	1178
11	3.718	1177.287	1035	1338	1176
12	3.541	1379.409	1073	1631	1386
13	1.179	1220.742	1082	1377	1222
14	0.490	1188.112	1052	1401	1186
15	1.644	1210.558	1073	1353	1210
16	1.048	1206.161	1078	1340	1206
17	1.377	1219.239	1094	1352	1221
18	0.663	1210.739	1079	1362	1217
19	3.372	1197.479	1039	1374	1196
20	0.841	1180.256	1032	1331	1183
21	1.234	1208.733	1073	1347	1211
22	3.524	1191.657	1030	1352	1190
23	1.969	1222.635	1059	1368	1220
24	3.469	1198.181	1025	1339	1199
25	1.187	1247.452	1111	1432	1248
26	0.579	1187.883	1068	1347	1187
27	1.762	1209.192	1057	1335	1208
28	0.562	1197.105	1054	1324	1196
29	0.549	1176.431	1060	1302	1169
30	0.722	1195.854	1079	1343	1198
31	0.693	1184.884	1056	1309	1187
32	0.448	1196.509	1073	1350	1201
33	0.532	1195.746	1069	1318	1198
34	1.821	1200.717	1021	1360	1201
35	0.672	1194.887	1056	1325	1194
36	0.744	1223.159	1078	1358	1224
37	0.727	1186.395	1068	1378	1189
38	1.255	1205.104	1067	1327	1208
39	0.596	1222.206	1072	1352	1217
40	2.235	1215.066	1052	1366	1214
41	2.024	1210.125	1043	1437	1211
42	1.462	1216.373	1099	1381	1217
43	0.731	1232.728	1098	1396	1231
44	1.905	1229.996	1069	1381	1229
45	1.060	1231.143	1049	1359	1234
46	0.520	1191.252	1065	1369	1191
47	2.522	1200.390	1010	1352	1200
48	0.951	1219.564	1016	1364	1218
49	0.883	1221.512	1088	1359	1223
50	0.735	1204.966	1092	1334	1206
51	0.613	1227.503	1091	1375	1230
52	0.541	1180.555	1039	1360	1174
53	2.941	1183.461	1011	1372	1180
54	0.710	1196.417	1034	1364	1196
55	0.976	1198.485	1050	1312	1198
56	1.534	1218.091	1083	1427	1219
57	0.507	1214.917	1075	1346	1215
58	1.529	1230.033	1029	1377	1229
59	1.170	1212.365	1048	1394	1212
60	2.615	1214.323	1082	1388	1213
61	0.507	1222.458	1106	1367	1222
62	1.225	1218.066	1050	1363	1216
63	0.714	1221.621	1092	1339	1224
64	1.263	1199.090	1033	1345	1201
65	0.541	1217.109	1100	1361	1215
66	0.799	1224.312	1115	1353	1220
67	4.652	1209.463	1020	1371	1209
68	0.642	1192.263	1067	1329	1189
69	0.465	1233.027	1102	1386	1234
70	0.976	1232.576	1094	1394	1236
71	1.094	1230.429	1078	1370	1231
72	0.532	1223.024	1108	1358	1224
73	0.841	1226.196	1054	1343	1227
74	0.891	1226.787	1100	1358	1230
75	0.461	1199.312	1049	1372	1195
76	1.694	1226.900	1067	1376	1227
77	1.905	1229.113	1076	1382	1229
78	0.617	1197.000	1052	1385	1197
79	0.845	1212.895	1063	1356	1210
80	0.490	1214.328	1035	1355	1215
81	0.710	1229.673	1100	1373	1229
82	1.694	1229.397	1094	1378	1230
83	1.403	1230.470	1068	1386	1231
84	0.570	1204.948	1076	1381	1206
85	0.494	1211.632	1082	1335	1209
