 	Area	Mean	Min	Max	Median
1	2.903	2279.023	1157	3191	2370
2	2.586	1325.103	1173	1497	1325
3	2.784	1278.085	1101	1526	1275
4	0.697	1306.400	1162	1487	1306
5	0.642	1290.539	1129	1423	1290
6	0.473	1327.357	1166	1496	1327
7	1.204	1277.182	1140	1433	1278
8	0.942	1221.857	1061	1386	1222
9	0.866	1223.820	1068	1369	1223
10	0.663	1221.669	1108	1373	1214
11	3.718	1244.339	1076	1424	1243
12	3.541	1327.458	1084	1517	1328
13	1.179	1319.129	1189	1451	1318
14	0.490	1260.190	1144	1383	1261
15	1.644	1275.504	1130	1471	1272
16	1.048	1286.048	1147	1466	1283
17	1.377	1308.831	1149	1505	1307
18	0.663	1296.032	1170	1413	1296
19	3.372	1278.759	1123	1444	1278
20	0.841	1260.246	1083	1399	1258
21	1.234	1300.671	1153	1468	1301
22	3.524	1250.807	1100	1419	1251
23	1.969	1316.884	1125	1498	1319
24	3.469	1268.436	1091	1439	1268
25	1.187	1319.868	1141	1472	1320
26	0.579	1264.255	1138	1411	1260
27	1.762	1295.976	1137	1444	1295
28	0.562	1281.684	1149	1424	1279
29	0.549	1238.069	1112	1355	1237
30	0.722	1261.386	1133	1411	1257
31	0.693	1255.780	1115	1411	1256
32	0.448	1293.104	1145	1447	1288
33	0.532	1288.730	1171	1451	1289
34	1.821	1284.568	1124	1469	1283
35	0.672	1268.723	1138	1456	1268
36	0.744	1300.562	1136	1457	1303
37	0.727	1233.465	1086	1397	1228
38	1.255	1273.710	1123	1434	1272
39	0.596	1336.390	1213	1486	1338
40	2.235	1316.138	1163	1467	1318
41	2.024	1221.081	1079	1389	1219
42	1.462	1310.936	1161	1490	1303
43	0.731	1305.561	1182	1449	1301
44	1.905	1313.847	1117	1485	1313
45	1.060	1284.012	1186	1425	1285
46	0.520	1262.276	1079	1410	1263
47	2.522	1287.995	1103	1449	1289
48	0.951	1322.547	1169	1465	1326
49	0.883	1300.871	1126	1431	1301
50	0.735	1286.655	1127	1433	1291
51	0.613	1289.683	1146	1410	1290
52	0.541	1222.359	1097	1394	1224
53	2.941	1248.460	1069	1441	1249
54	0.710	1253.750	1124	1420	1249
55	0.976	1283.498	1128	1439	1284
56	1.534	1313.521	1138	1460	1313
57	0.507	1309.250	1196	1453	1313
58	1.529	1243.649	1106	1434	1242
59	1.170	1239.473	1110	1442	1236
60	2.615	1291.312	1152	1445	1288
61	0.507	1299.017	1183	1435	1295
62	1.225	1315.410	1204	1432	1314
63	0.714	1314.515	1165	1435	1313
64	1.263	1264.585	1123	1413	1262
65	0.541	1314.922	1163	1434	1318
66	0.799	1324.672	1185	1432	1329
67	4.652	1289.665	1130	1497	1290
68	0.642	1257.645	1122	1404	1260
69	0.465	1327.064	1196	1490	1331
70	0.976	1337.290	1184	1491	1336
71	1.094	1310.629	1153	1444	1310
72	0.532	1316.381	1172	1438	1322
73	0.841	1305.442	1139	1437	1301
74	0.891	1315.275	1194	1461	1311
75	0.461	1275.156	1150	1415	1282
76	1.694	1320.641	1146	1487	1318
