 	Area	Mean	Min	Max	Median
1	4.026	6478.890	2949	13339	4964
2	1.487	5124.821	3496	6425	5244
3	2.151	4639.766	3556	5591	4715
4	2.290	2781.214	2581	3044	2777
5	0.984	2890.545	2693	3144	2888
6	1.863	2793.327	2511	3018	2792
7	2.189	2885.583	2619	3177	2879
8	3.617	2798.835	2532	3140	2797
9	2.320	2797.286	2512	3041	2796
10	3.067	2814.851	2564	3084	2817
11	2.024	2766.979	2506	3033	2768
12	2.949	2771.883	2473	3016	2778
13	2.658	3285.130	2761	3862	3251
14	2.028	2925.252	2581	3168	2924
15	2.294	2731.409	2515	2984	2732
16	1.829	2756.910	2510	3008	2753
17	0.562	2767.707	2576	2936	2766
18	2.243	2814.222	2556	3084	2813
19	1.648	2903.708	2611	3175	2901
20	3.908	4706.405	3243	6158	4688
21	1.914	4051.951	3174	5029	3999
22	1.521	3008.336	2748	3277	3005
23	1.559	2830.035	2612	3161	2830
24	2.869	2868.894	2543	3162	2870
25	2.142	3095.286	2777	3411	3100
26	1.293	5193.997	3933	5886	5316
27	2.282	7594.474	3743	11986	7213
28	3.063	2833.743	2568	3050	2832
29	2.898	2870.792	2549	3140	2874
30	2.125	2869.765	2599	3096	2871
31	1.918	2896.760	2658	3129	2892
32	2.793	2896.422	2619	3134	2895
33	1.736	3254.910	2778	3684	3246
34	2.218	3031.221	2723	3372	3030
35	1.998	2906.611	2617	3141	2909
36	1.234	2812.952	2603	3097	2818
37	3.296	2912.295	2669	3165	2911
38	1.994	2902.441	2623	3126	2905
39	1.918	2867.163	2613	3216	2868
40	3.836	2886.988	2631	3161	2886
41	2.155	7056.196	4801	8666	7143
42	2.404	2762.979	2528	3007	2765
43	4.014	7211.914	3311	13458	6705
44	2.822	2904.871	2652	3223	2905
45	2.260	3147.951	2794	3635	3130
46	2.315	3242.995	2962	3587	3245
47	2.543	2904.462	2637	3137	2902
48	2.155	2944.345	2686	3144	2942
49	3.296	4635.387	3011	7115	4563
50	2.750	3277.641	2864	3707	3265
51	0.786	2948.022	2661	3173	2946
52	3.105	2949.693	2648	3183	2950
53	3.904	4743.187	3078	6007	4834
54	2.227	3174.954	2815	3518	3172
55	3.021	3099.980	2798	3454	3095
56	3.308	2959.554	2713	3223	2963
57	3.372	11095.836	5588	18449	10247
58	2.332	3355.163	2968	3723	3358
59	2.658	2821.388	2495	3093	2821
60	2.839	3992.324	3155	4745	3986
61	2.962	2837.073	2581	3109	2834
62	1.846	9160.851	5250	12116	9221
63	2.205	2876.766	2667	3125	2874
64	3.135	3349.962	2814	4698	3230
65	2.442	5109.464	3135	7393	4959
66	2.687	4113.568	2840	5282	4072
67	2.256	2906.260	2656	3190	2903
68	2.679	11683.549	5028	18646	11245
69	2.979	2926.071	2658	3197	2927
70	2.298	2981.982	2737	3200	2979
71	3.443	2985.491	2711	3226	2987
72	2.687	6492.299	4120	8518	6464
73	3.059	2931.032	2677	3211	2926
74	3.101	2934.195	2649	3244	2932
75	4.170	2827.373	2549	3083	2829
76	2.552	13991.858	4637	22445	13850
77	3.807	2971.063	2698	3224	2971
78	2.391	2964.604	2625	3227	2960
79	2.560	2972.449	2710	3203	2977
80	1.884	3095.504	2818	3393	3094
81	1.297	6402.603	4707	8184	6355
82	2.518	2830.354	2563	3104	2832
83	2.311	2960.016	2706	3233	2955
84	4.225	4249.956	2938	5372	4213
85	2.362	2988.555	2714	3207	2986
86	3.329	2977.930	2650	3360	2977
87	1.614	2828.131	2553	3039	2827
88	2.670	11664.350	4278	16577	12417
89	3.067	3761.362	3107	4373	3760
90	3.401	2993.604	2751	3318	2994
91	3.097	2998.596	2768	3283	3000
92	2.282	5335.054	3241	8803	4853
93	2.645	3164.519	2854	3483	3162
94	1.597	3217.646	2936	3625	3223
95	1.817	2930.607	2624	3213	2926
