 	Area	Mean	Min	Max	Median
1	4.026	4420.252	1633	10188	3504
2	1.487	7888.193	4211	11205	8124
3	2.151	7050.963	2893	9634	7196
4	2.290	1504.742	1302	1695	1508
5	0.984	1677.288	1480	1960	1679
6	1.863	1666.769	1339	2161	1630
7	2.189	1826.095	1464	2351	1825
8	3.617	1615.304	1299	1929	1605
9	2.320	1414.581	1202	1609	1412
10	3.067	1410.512	1236	1700	1408
11	2.024	1329.309	1139	1524	1329
12	2.949	1670.573	1292	2066	1663
13	2.658	3649.954	2299	7359	3186
14	2.028	3273.998	1692	5710	3057
15	2.294	1514.355	1183	1833	1529
16	1.829	1320.887	1166	1465	1318
17	0.562	1311.414	1142	1461	1317
18	2.243	1447.906	1240	1697	1445
19	1.648	2658.736	1954	3948	2549
20	3.908	4340.846	2330	8462	4002
21	1.914	3203.506	1988	5448	2963
22	1.521	1890.306	1481	2332	1882
23	1.559	1515.290	1311	1698	1512
24	2.869	1615.979	1317	2147	1594
25	2.142	1960.690	1590	2261	1973
26	1.293	4812.683	2504	6083	5056
27	2.282	6697.256	2201	13238	5950
28	3.063	1581.680	1348	1806	1581
29	2.898	3899.480	1667	7049	3427
30	2.125	1499.356	1201	1864	1487
31	1.918	2177.846	1598	2943	2154
32	2.793	1565.876	1352	1854	1564
33	1.736	3935.669	1852	6721	3664
34	2.218	3266.916	1893	5681	2977
35	1.998	1621.628	1389	1919	1609
36	1.234	1712.082	1373	2000	1699
37	3.296	1694.187	1298	2006	1729
38	1.994	1796.818	1526	2053	1801
39	1.918	1423.240	1229	1623	1424
40	3.836	1505.476	1319	1725	1506
41	2.155	4565.469	2713	6471	4544
42	2.404	2403.508	1243	3449	2465
43	4.014	7569.154	2469	16246	7378
44	2.822	2108.912	1467	2474	2159
45	2.260	2346.972	1691	3590	2223
46	2.315	1777.276	1544	2019	1779
47	2.543	2120.299	1566	2859	2058
48	2.155	1669.239	1421	1929	1669
49	3.296	2558.003	1518	4535	2482
50	2.750	1972.788	1458	2416	2024
51	0.786	1433.457	1278	1590	1431
52	3.105	1714.045	1351	2121	1686
53	3.904	5722.973	1774	8317	6052
54	2.227	1891.209	1484	2703	1828
55	3.021	2033.585	1465	2667	1998
56	3.308	1622.507	1385	1893	1613
57	3.372	4474.216	2369	8773	3966
58	2.332	4863.929	2633	6651	4923
59	2.658	1540.572	1225	2148	1488
60	2.839	4829.342	2571	7706	4578
61	2.962	1698.067	1234	2122	1716
62	1.846	11464.698	4991	19131	10956
63	2.205	2058.418	1367	2774	2075
64	3.135	2493.744	1645	5230	2186
65	2.442	7116.633	2128	12178	7138
66	2.687	5436.286	1876	9116	5415
67	2.256	1488.127	1261	1728	1486
68	2.679	9614.549	3203	17352	8921
69	2.979	2150.562	1380	2924	2140
70	2.298	1822.243	1440	2428	1785
71	3.443	1612.061	1298	1926	1602
72	2.687	4480.252	2317	7063	4229
73	3.059	1646.268	1238	2105	1635
74	3.101	1725.287	1352	2367	1657
75	4.170	1475.090	1127	1837	1450
76	2.552	10853.457	2676	18022	11423
77	3.807	1476.011	1303	1642	1475
78	2.391	1906.182	1449	3093	1759
79	2.560	1472.904	1269	1700	1474
80	1.884	1756.105	1420	2080	1761
81	1.297	5830.160	3779	9082	5497
82	2.518	1435.639	1190	1635	1440
83	2.311	1486.176	1276	1772	1481
84	4.225	7537.067	2500	12604	7241
85	2.362	1647.730	1357	2047	1617
86	3.329	2094.718	1427	2587	2148
87	1.614	1576.212	1238	2311	1499
88	2.670	8753.809	2475	13704	9530
89	3.067	4756.238	2672	7148	4643
90	3.401	1858.252	1529	2226	1857
91	3.097	1942.241	1638	2292	1938
92	2.282	6058.331	1989	12051	5192
93	2.645	3944.805	1739	5738	4163
94	1.597	3452.167	2224	5057	3372
95	1.817	1487.958	1254	1781	1480
96	2.455	1798.731	1403	2391	1763
97	1.652	4123.095	2960	6213	3925
98	2.349	7705.081	2847	13870	6977
99	2.239	1442.530	1259	1609	1442
100	2.679	1523.177	1308	1801	1509
101	2.091	7872.642	2355	15548	6693
102	3.122	1385.670	1204	1563	1385
103	3.304	1517.785	1285	1776	1515
104	3.012	1514.530	1305	1716	1512
105	1.711	1528.640	1310	1711	1523
106	2.421	2779.754	1694	3606	2900
107	3.097	1558.914	1313	1825	1556
108	3.122	1729.827	1412	2022	1744
109	2.810	1917.522	1470	2394	1895
110	1.682	1493.653	1290	1709	1492
111	2.294	1887.680	1363	2282	1939
112	2.459	1696.636	1477	1966	1697
113	3.105	1409.690	1229	1602	1412
114	3.579	1906.124	1477	2551	1854
115	2.848	1431.325	1270	1631	1432
116	2.772	2129.515	1542	2896	2069
117	1.880	1821.593	1401	2399	1769
118	1.965	3799.998	2441	5647	3680
119	3.160	1740.803	1351	2095	1751
120	2.539	1758.524	1535	1993	1754
121	4.136	6430.741	1898	17828	4135
122	2.945	1628.502	1297	1928	1642
123	2.484	1471.869	1254	1742	1458
124	4.200	1535.231	1334	1744	1537
125	2.970	1505.303	1117	1830	1513
126	2.501	1444.652	1278	1710	1443
127	2.679	1619.377	1350	1970	1611
128	3.663	1462.010	1256	1734	1455
129	2.189	1806.459	1555	2078	1810
130	2.379	1374.877	1179	1615	1376
131	2.400	1965.475	1454	2343	2008
132	3.752	2112.986	1452	2867	2040
133	2.527	1820.799	1465	2194	1796
134	3.097	3245.296	2175	4850	3190
135	2.239	1312.168	1141	1484	1314
136	2.383	1769.376	1562	2084	1768
137	1.956	1714.821	1448	2057	1692
138	2.451	1547.298	1294	1773	1548
139	3.828	2068.219	1675	2505	2063
140	2.324	1635.171	1338	1925	1641
141	1.893	1776.603	1547	2017	1770
142	2.480	7097.676	3096	14940	5908
143	1.825	1915.877	1622	2572	1864
144	2.091	5774.362	1728	9881	5981
145	1.977	1334.137	1151	1510	1337
146	2.674	1321.965	1159	1476	1324
147	1.910	1773.743	1453	2205	1754
148	2.282	1701.691	1429	1963	1701
149	2.053	1729.156	1419	2192	1690
150	1.791	2224.125	1561	2814	2261
151	2.497	6703.714	3039	11880	6025
152	2.180	1549.316	1282	1854	1549
153	3.553	9048.815	2943	13026	9654
154	2.248	1535.036	1331	1733	1535
155	1.686	1475.556	1269	1669	1473
156	2.843	1512.440	1297	1753	1513
157	1.952	1380.613	1155	1554	1379
158	2.907	1316.116	1133	1511	1314
159	2.041	1443.402	1235	1614	1443
160	1.884	1546.543	1342	1855	1537
161	2.303	1450.670	1212	1754	1426
162	2.725	1362.597	1169	1598	1356
163	2.189	1519.871	1334	1733	1519
164	2.729	1949.068	1414	2331	1990
165	2.345	1598.416	1368	1819	1594
166	1.948	1681.011	1456	1980	1673
167	2.032	1704.374	1477	2059	1694
168	2.214	1376.639	1206	1536	1375
169	1.791	5621.587	2906	7299	5890
170	3.215	1440.306	1247	1671	1437
171	2.252	2767.955	2145	3486	2760
172	2.860	1921.934	1422	2417	1942
173	3.241	2006.769	1479	2891	2037
174	2.315	5905.281	2364	9743	5595
175	3.080	1955.300	1569	2519	1919
176	2.510	2088.843	1807	2560	2079
177	2.645	1814.583	1473	2370	1778
178	3.600	6760.190	2969	11264	6708
179	2.472	5502.983	1825	8560	5776
180	1.703	1930.841	1504	2511	1921
181	2.501	1961.367	1523	2480	1944
