 	Area	Mean	Min	Max	Median
1	2.049	1144.868	1009	1309	1145
2	0.482	1143.430	1031	1267	1135
3	1.179	1166.921	1023	1354	1167
4	1.103	1174.276	1042	1296	1172
5	0.815	1180.176	1041	1280	1174
6	0.997	1181.835	1034	1335	1181
7	2.505	1197.017	1039	1348	1197
8	0.477	1160.035	1038	1339	1154
9	0.621	1168.435	1066	1338	1166
10	1.077	1192.969	1023	1337	1191
11	1.851	1182.790	1061	1333	1183
12	0.537	1179.055	1059	1310	1177
13	0.718	1183.541	1057	1329	1187
14	1.973	1182.779	1041	1309	1184
15	0.570	1185.526	1029	1363	1188
16	1.656	1203.893	1034	1351	1204
17	0.613	1200.028	1086	1373	1200
18	0.731	1193.803	1045	1378	1194
19	0.461	1202.550	1067	1320	1203
20	4.098	1212.348	1047	1381	1212
21	1.373	1198.498	1052	1334	1199
22	2.843	1216.123	1056	1376	1215
23	0.765	1233.580	1118	1350	1233
24	0.790	1225.289	1066	1357	1224
25	0.790	1232.519	1052	1363	1230
26	0.638	1229.556	1058	1381	1234
27	2.036	1225.730	1066	1381	1224
28	1.424	1214.662	1064	1351	1211
29	1.234	1201.421	1047	1388	1200
30	3.655	1238.398	1095	1368	1239
31	1.787	1233.570	1064	1391	1235
32	2.712	1239.553	1082	1380	1240
33	2.649	1260.464	1115	1420	1259
34	0.668	1242.766	1073	1366	1244
35	1.251	1207.709	1056	1360	1210
36	1.014	1253.029	1104	1415	1256
37	3.507	1209.948	1050	1405	1206
38	1.145	1251.675	1089	1429	1251
39	1.648	1226.482	1036	1414	1228
40	1.589	1250.449	1081	1405	1253
41	2.843	1263.593	1103	1419	1260
42	2.434	1261.531	1058	1415	1260
43	0.913	1224.208	1066	1353	1219
44	3.173	1258.530	1099	1464	1259
45	0.503	1238.168	1112	1382	1235
46	0.541	1258.570	1118	1383	1254
47	2.260	1264.873	1079	1414	1264
48	2.581	1239.550	1045	1411	1241
49	0.541	1211.852	1098	1353	1215
50	3.912	1243.760	1091	1409	1242
51	0.799	1208.889	1007	1386	1206
52	2.586	1256.980	1107	1453	1256
53	0.786	1235.263	1102	1400	1235
54	2.560	1255.144	1102	1432	1254
55	0.676	1237.062	1123	1356	1242
56	2.729	1198.156	1037	1367	1202
57	2.674	1242.035	1070	1390	1237
58	1.229	1201.835	1059	1340	1199
59	1.639	1237.771	1068	1383	1237
60	3.456	1242.191	1084	1438	1240
61	1.234	1204.764	1040	1353	1205
62	1.656	1190.577	1043	1372	1188
63	3.845	1235.507	1076	1429	1234
64	0.566	1213.418	1058	1359	1208
65	1.487	1206.011	1086	1381	1203
66	0.507	1218.275	1124	1355	1212
67	0.896	1192.340	1068	1380	1188
68	2.210	1211.512	1062	1361	1209
69	0.710	1226.548	1104	1344	1228
70	0.951	1202.796	1077	1328	1204
71	1.284	1194.359	1012	1334	1195
72	4.225	1230.519	1057	1442	1232
73	0.482	1239.421	1108	1361	1237
74	4.487	1203.737	1058	1357	1203
75	1.635	1234.411	1090	1373	1234
76	4.842	1229.882	1089	1395	1230
77	1.103	1210.368	1051	1369	1213
78	1.052	1214.631	1062	1354	1214
79	1.986	1138.760	978	1309	1135
80	1.242	1210.160	1071	1334	1213
81	0.575	1217.360	1064	1370	1221
82	0.828	1221.117	1079	1345	1224
83	0.651	1226.883	1084	1353	1223
84	3.748	1223.322	1082	1400	1223
85	0.684	1211.784	1079	1369	1218
86	1.893	1234.422	1045	1384	1233
87	0.600	1217.634	1103	1415	1219
88	1.137	1203.736	1077	1410	1201
89	0.811	1234.625	1107	1378	1234
90	4.926	1232.081	1077	1397	1233
91	2.053	1216.438	1060	1357	1217
92	4.504	1207.514	1046	1413	1206
93	0.655	1223.090	1071	1372	1222
94	0.528	1229.696	1073	1356	1232
95	0.469	1217.694	1065	1356	1218
96	0.515	1219.475	1064	1352	1219
97	4.348	1228.773	1069	1395	1226
98	0.773	1193.984	1058	1313	1193
99	0.494	1231.239	1014	1379	1225
100	0.549	1187.546	1060	1338	1185
101	3.367	1229.503	1055	1414	1225
102	1.373	1210.892	1096	1360	1206
103	0.587	1205.410	1072	1334	1208
104	2.941	1225.253	1079	1404	1227
105	1.060	1233.841	1067	1362	1234
106	0.625	1221.797	1091	1345	1222
107	0.511	1210.025	1039	1319	1217
108	0.841	1231.432	1082	1348	1233
109	2.708	1216.704	1043	1403	1215
110	0.845	1232.915	1103	1362	1234
111	2.628	1211.627	1051	1373	1213
112	0.659	1207.917	1047	1350	1209
113	2.396	1198.949	1062	1365	1198
114	0.803	1206.347	1089	1351	1206
115	0.503	1223.227	1117	1336	1219
116	0.507	1223.817	1111	1349	1216
117	0.752	1191.708	1071	1340	1191
118	1.703	1203.610	1028	1402	1204
119	0.786	1221.022	1105	1397	1225
120	0.925	1203.525	1071	1343	1206
121	1.677	1189.224	1057	1361	1190
122	1.153	1185.619	1009	1326	1189
123	0.587	1184.165	1008	1316	1179
124	0.549	1230.862	1135	1352	1229
125	1.162	1224.455	1077	1372	1224
126	0.494	1221.325	1123	1338	1221
127	0.511	1203.033	1020	1330	1203
128	0.566	1194.224	1096	1327	1198
