 	Area	Mean	Min	Max	Median
1	2.049	1044.911	904	1198	1046
2	0.482	1046.921	924	1162	1048
3	1.179	1113.921	945	1297	1116
4	1.103	1081.582	952	1215	1082
5	0.815	1091.891	952	1219	1090
6	0.997	1106.699	981	1246	1105
7	2.505	1615.487	1051	3037	1383
8	0.477	1069.159	948	1196	1070
9	0.621	1081.755	920	1233	1078
10	1.077	1110.161	979	1302	1111
11	1.851	1103.669	976	1252	1103
12	0.537	1096.047	999	1196	1096
13	0.718	1102.988	970	1213	1104
14	1.973	1095.424	914	1283	1096
15	0.570	1109.156	992	1245	1108
16	1.656	1107.342	971	1271	1105
17	0.613	1124.310	1019	1294	1124
18	0.731	1296.671	1123	1636	1290
19	0.461	1122.046	998	1258	1119
20	4.098	2091.565	1206	3621	2011
21	1.373	1449.871	1168	1841	1418
22	2.843	4385.591	1702	10490	3196
23	0.765	1155.381	1032	1284	1157
24	0.790	1141.182	1010	1270	1136
25	0.790	1166.567	1007	1306	1173
26	0.638	1154.662	997	1329	1156
27	2.036	1157.475	1012	1354	1158
28	1.424	1149.080	1030	1324	1145
29	1.234	1122.808	994	1280	1121
30	3.655	2557.910	1178	4683	2212
31	1.787	1144.603	1002	1280	1147
32	2.712	20337.520	2888	42389	20065
33	2.649	4692.930	1479	10679	3268
34	0.668	1197.956	1071	1326	1198
35	1.251	1132.230	993	1280	1131
36	1.014	1220.704	1094	1390	1212
37	3.507	1477.386	1064	2255	1351
38	1.145	1206.517	1082	1350	1206
39	1.648	1147.282	981	1267	1147
40	1.589	1221.003	1075	1368	1222
41	2.843	19001.076	3247	63121	10226
42	2.434	13270.472	2861	43370	7465
43	0.913	1143.801	1027	1306	1144
44	3.173	1389.828	1095	1871	1324
45	0.503	1198.866	1064	1314	1194
46	0.541	1196.320	1086	1294	1198
47	2.260	1687.402	1125	2671	1482
48	2.581	21654.103	3679	65535	12294
49	0.541	1133.172	1017	1268	1132
50	3.912	10941.959	1979	24959	8869
51	0.799	1132.101	1010	1328	1130
52	2.586	26186.337	3887	65535	16798
53	0.786	1184.392	1031	1378	1184
54	2.560	23701.607	3172	57864	15646
55	0.676	2021.319	1639	2530	2008
56	2.729	1114.859	947	1269	1112
57	2.674	1436.697	1116	2117	1365
58	1.229	1127.711	994	1273	1126
59	1.639	1166.260	1028	1332	1166
60	3.456	1232.131	1060	1463	1225
61	1.234	1125.034	1005	1287	1123
62	1.656	1110.349	927	1277	1111
63	3.845	1170.799	1023	1335	1170
64	0.566	1138.336	1027	1259	1140
65	1.487	1124.568	961	1267	1122
66	0.507	1153.608	1040	1306	1151
67	0.896	1637.198	1033	2104	1766
68	2.210	1132.556	966	1324	1133
69	0.710	1173.565	1036	1295	1173
70	0.951	1130.116	974	1325	1128
71	1.284	1123.664	1007	1283	1122
72	4.225	1160.253	980	1343	1162
73	0.482	1162.333	1050	1309	1163
74	4.487	1124.562	928	1275	1124
75	1.635	1162.716	1018	1287	1164
76	4.842	1163.548	1024	1337	1163
77	1.103	1121.747	964	1255	1121
78	1.052	1131.237	992	1282	1136
79	1.986	1085.374	942	1233	1081
80	1.242	1134.150	995	1312	1138
81	0.575	1133.713	1002	1262	1136
82	0.828	1139.179	1013	1280	1140
83	0.651	1169.948	1030	1266	1175
84	3.748	1150.855	985	1319	1149
85	0.684	1119.648	999	1239	1118
86	1.893	1158.451	1007	1323	1158
87	0.600	1123.873	998	1262	1133
88	1.137	1132.781	984	1270	1132
89	0.811	1160.948	1019	1274	1165
90	4.926	1161.739	1026	1354	1161
91	2.053	1145.362	990	1307	1147
92	4.504	1133.975	985	1292	1135
93	0.655	1138.413	1026	1248	1137
94	0.528	1164.344	1040	1313	1163
95	0.469	1147.685	1025	1282	1149
96	0.515	1157.074	1000	1321	1158
97	4.348	1169.734	981	1342	1170
98	0.773	1124.230	983	1247	1127
99	0.494	1155.350	1051	1263	1157
100	0.549	1132.923	1026	1286	1131
101	3.367	1161.403	1010	1324	1162
102	1.373	1129.803	991	1285	1131
103	0.587	1137.719	991	1275	1142
104	2.941	1166.759	1018	1323	1165
105	1.060	1152.060	979	1294	1157
106	0.625	1168.696	1053	1302	1177
107	0.511	1125.364	1010	1252	1127
108	0.841	1156.101	1025	1311	1155
109	2.708	1141.509	986	1280	1143
110	0.845	1156.700	1039	1303	1157
111	2.628	1137.632	964	1290	1139
112	0.659	1134.731	961	1298	1138
113	2.396	1118.663	936	1284	1117
114	0.803	1126.226	976	1274	1128
115	0.503	1152.840	1002	1288	1155
116	0.507	1158.200	1062	1294	1154
117	0.752	1126.343	987	1270	1125
118	1.703	1284.335	1018	1660	1263
119	0.786	1147.210	990	1300	1152
120	0.925	1130.817	992	1247	1135
121	1.677	1129.431	975	1269	1130
122	1.153	1146.985	1017	1287	1149
123	0.587	1133.122	997	1238	1130
124	0.549	1172.831	1028	1316	1171
125	1.162	1165.789	1022	1300	1165
126	0.494	1159.291	1033	1340	1160
127	0.511	1135.050	986	1283	1138
128	0.566	1131.007	999	1229	1138
